k,accuracy,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
1,0.9888888888888889,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9714285714285714,0.9411764705882353
1,0.9833333333333333,1.0,0.9473684210526315,1.0,1.0,1.0,0.9743589743589743,0.9714285714285714,1.0,0.9696969696969697,0.9714285714285714
1,0.9888888888888889,1.0,0.972972972972973,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,0.9411764705882353
1,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,0.972972972972973
1,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,0.972972972972973
1,0.9833333333333333,1.0,0.9473684210526315,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9411764705882353,0.972972972972973
1,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0
1,0.9888268156424581,1.0,1.0,1.0,0.9743589743589743,1.0,0.9714285714285714,0.972972972972973,1.0,1.0,0.9714285714285714
1,0.9888268156424581,1.0,0.9743589743589743,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.9696969696969697,0.9714285714285714
1,0.9832402234636871,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,0.9714285714285714,0.9090909090909091
2,0.9888888888888889,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9714285714285714,0.9411764705882353
2,0.9833333333333333,1.0,0.9473684210526315,1.0,1.0,1.0,0.9743589743589743,0.9714285714285714,1.0,0.9696969696969697,0.9714285714285714
2,0.9888888888888889,1.0,0.972972972972973,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,0.9411764705882353
2,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,0.972972972972973
2,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,0.972972972972973
2,0.9833333333333333,1.0,0.9473684210526315,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9411764705882353,0.972972972972973
2,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0
2,0.9888268156424581,1.0,1.0,1.0,0.9743589743589743,1.0,0.9714285714285714,0.972972972972973,1.0,1.0,0.9714285714285714
2,0.9888268156424581,1.0,0.9743589743589743,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.9696969696969697,0.9714285714285714
2,0.9832402234636871,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,0.9714285714285714,0.9090909090909091
3,0.9888888888888889,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,0.972972972972973,0.9714285714285714,0.9714285714285714
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
3,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,0.972972972972973
3,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,0.972972972972973
3,0.9833333333333333,1.0,0.9473684210526315,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9411764705882353,0.972972972972973
