hyperparameters,k,accuracy,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
1,1,0.9944444444444445,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,0.9714285714285714
1,1,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,1.0
1,1,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.972972972972973
1,1,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.9714285714285714
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,0.9888888888888889,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0
1,1,0.9666666666666667,1.0,0.972972972972973,0.9714285714285714,0.972972972972973,1.0,0.9714285714285714,1.0,0.9714285714285714,0.918918918918919,0.8888888888888888
1,1,0.9832402234636871,1.0,0.972972972972973,1.0,0.9743589743589743,1.0,0.9714285714285714,0.972972972972973,1.0,0.9696969696969697,0.9714285714285714
1,1,0.9888268156424581,1.0,1.0,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,0.9444444444444444
1,1,0.994413407821229,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
1,2,0.9944444444444445,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,0.9714285714285714
1,2,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,1.0
1,2,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.972972972972973
1,2,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.9714285714285714
1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2,0.9888888888888889,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0
1,2,0.9666666666666667,1.0,0.972972972972973,0.9714285714285714,0.972972972972973,1.0,0.9714285714285714,1.0,0.9714285714285714,0.918918918918919,0.8888888888888888
1,2,0.9832402234636871,1.0,0.972972972972973,1.0,0.9743589743589743,1.0,0.9714285714285714,0.972972972972973,1.0,0.9696969696969697,0.9714285714285714
1,2,0.9888268156424581,1.0,1.0,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,0.9444444444444444
1,2,0.994413407821229,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,0.9714285714285714
1,3,0.9944444444444445,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,0.9714285714285714
1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,3,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,0.9714285714285714
1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,3,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,1.0,0.972972972972973
1,3,0.9888888888888889,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714
1,3,0.9666666666666667,1.0,0.972972972972973,0.9714285714285714,0.972972972972973,1.0,0.9714285714285714,1.0,0.9714285714285714,0.918918918918919,0.8888888888888888
1,3,0.9776536312849162,1.0,0.972972972972973,1.0,0.9473684210526315,1.0,0.9714285714285714,0.972972972972973,0.972972972972973,0.9696969696969697,0.9714285714285714
1,3,0.9888268156424581,1.0,1.0,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,0.9444444444444444
1,3,0.9888268156424581,1.0,1.0,1.0,0.9473684210526315,1.0,1.0,1.0,0.972972972972973,1.0,0.9714285714285714
1,4,0.9944444444444445,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,0.9714285714285714
1,4,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,1.0,0.972972972972973,1.0,0.9696969696969697,1.0
1,4,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,1.0,1.0,0.9714285714285714
1,4,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.9714285714285714
1,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4,0.9888888888888889,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714
1,4,0.9666666666666667,1.0,0.972972972972973,0.9714285714285714,0.972972972972973,1.0,0.9714285714285714,1.0,0.9714285714285714,0.918918918918919,0.8888888888888888
1,4,0.9776536312849162,1.0,0.972972972972973,1.0,0.9473684210526315,1.0,0.9714285714285714,0.972972972972973,0.972972972972973,0.9696969696969697,0.9714285714285714
1,4,0.9888268156424581,1.0,1.0,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,0.9444444444444444
1,4,0.9888268156424581,1.0,1.0,1.0,0.9473684210526315,1.0,1.0,1.0,0.972972972972973,1.0,0.9714285714285714
1,5,0.9888888888888889,1.0,1.0,1.0,1.0,0.9473684210526315,1.0,1.0,0.972972972972973,1.0,0.9714285714285714
