hyperparameters,ntree,accuracy,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
minimal_size_for_split=30,1,0.6722222222222223,0.9,0.5581395348837209,0.5454545454545454,0.7058823529411765,0.7222222222222222,0.5909090909090909,0.8108108108108109,0.7333333333333333,0.37037037037037035,0.7222222222222222
minimal_size_for_split=40,1,0.6944444444444444,0.9090909090909091,0.5581395348837209,0.56,0.85,0.7272727272727273,0.6818181818181818,0.8888888888888888,0.625,0.5806451612903226,0.5
minimal_size_for_split=20,1,0.6444444444444445,0.9142857142857143,0.4782608695652174,0.6060606060606061,0.625,0.85,0.6666666666666666,0.875,0.48484848484848486,0.3888888888888889,0.5882352941176471
minimal_size_for_split=50,1,0.6833333333333333,0.8947368421052632,0.5116279069767442,0.6666666666666666,0.7058823529411765,0.7111111111111111,0.7058823529411765,0.8421052631578947,0.6470588235294118,0.5925925925925926,0.5294117647058824
minimal_size_for_split=10,1,0.7055555555555556,0.8421052631578947,0.7027027027027027,0.8205128205128205,0.6,0.7027027027027027,0.6470588235294118,0.9142857142857143,0.7878787878787878,0.3448275862068966,0.631578947368421
minimal_size_for_split=50,2,0.6833333333333333,0.8947368421052632,0.5116279069767442,0.6666666666666666,0.7058823529411765,0.7111111111111111,0.7058823529411765,0.8421052631578947,0.6470588235294118,0.5925925925925926,0.5294117647058824
minimal_size_for_split=40,2,0.6777777777777778,0.8421052631578947,0.6363636363636364,0.6451612903225806,0.6470588235294118,0.7878787878787878,0.65,0.6451612903225806,0.8,0.5806451612903226,0.48484848484848486
minimal_size_for_split=30,2,0.6166666666666667,0.7567567567567568,0.5405405405405406,0.6153846153846154,0.6451612903225806,0.6285714285714286,0.6190476190476191,0.75,0.5,0.5161290322580645,0.5714285714285714
minimal_size_for_split=20,2,0.6944444444444444,0.7878787878787878,0.6818181818181818,0.5625,0.7428571428571429,0.5,0.8421052631578947,0.7567567567567568,0.7272727272727273,0.6666666666666666,0.6896551724137931
minimal_size_for_split=50,5,0.7722222222222223,0.9714285714285714,0.65,0.6857142857142857,0.7222222222222222,0.8,0.85,0.9090909090909091,0.7368421052631579,0.7586206896551724,0.6206896551724138
minimal_size_for_split=5,1,0.7222222222222222,0.75,0.7368421052631579,0.6428571428571429,0.8205128205128205,0.7692307692307693,0.7096774193548387,0.7692307692307693,0.7272727272727273,0.5789473684210527,0.6857142857142857
minimal_size_for_split=10,2,0.7055555555555556,0.8421052631578947,0.7027027027027027,0.8205128205128205,0.6,0.7027027027027027,0.6470588235294118,0.9142857142857143,0.7878787878787878,0.3448275862068966,0.631578947368421
minimal_size_for_split=30,5,0.8722222222222222,1.0,0.9230769230769231,0.7777777777777778,0.8125,0.8888888888888888,0.85,0.9473684210526315,0.8571428571428571,0.8235294117647058,0.8235294117647058
minimal_size_for_split=40,5,0.8666666666666667,0.9714285714285714,0.8421052631578947,0.875,0.8717948717948718,0.85,0.8888888888888888,1.0,0.8,0.8484848484848485,0.7222222222222222
minimal_size_for_split=20,5,0.8611111111111112,0.918918918918919,0.8947368421052632,0.8648648648648649,0.8,0.8,0.8947368421052632,0.9411764705882353,0.8292682926829268,0.75,0.9090909090909091
minimal_size_for_split=50,10,0.8611111111111112,0.9714285714285714,0.7692307692307693,0.8484848484848485,0.8571428571428571,0.8888888888888888,0.9444444444444444,0.918918918918919,0.8095238095238095,0.6896551724137931,0.8947368421052632
