k,accuracy,f1_0,f1_1
1,0.868766404199475,0.84472049689441,0.8863636363636364
1,0.8713910761154856,0.851063829787234,0.8868360277136259
1,0.868766404199475,0.8511904761904762,0.8826291079812206
1,0.8661417322834646,0.8421052631578947,0.8838268792710706
1,0.863517060367454,0.8354430379746836,0.8834080717488789
1,0.8766404199475065,0.8553846153846154,0.8924485125858124
1,0.884514435695538,0.8616352201257862,0.9009009009009009
1,0.8267716535433071,0.7924528301886793,0.8513513513513513
1,0.863517060367454,0.8404907975460123,0.8807339449541285
1,0.8766404199475065,0.8553846153846154,0.8924485125858124
2,0.868766404199475,0.84472049689441,0.8863636363636364
2,0.8713910761154856,0.851063829787234,0.8868360277136259
2,0.868766404199475,0.8511904761904762,0.8826291079812206
2,0.8661417322834646,0.8421052631578947,0.8838268792710706
2,0.863517060367454,0.8354430379746836,0.8834080717488789
2,0.8766404199475065,0.8553846153846154,0.8924485125858124
2,0.884514435695538,0.8616352201257862,0.9009009009009009
2,0.8267716535433071,0.7924528301886793,0.8513513513513513
2,0.863517060367454,0.8404907975460123,0.8807339449541285
2,0.8766404199475065,0.8553846153846154,0.8924485125858124
3,0.8976377952755905,0.877742946708464,0.9119638826185101
3,0.8740157480314961,0.8509316770186336,0.8909090909090909
3,0.889763779527559,0.8727272727272727,0.9027777777777778
3,0.8871391076115486,0.8643533123028391,0.903370786516854
3,0.8871391076115486,0.8626198083067093,0.9042316258351893
3,0.9002624671916011,0.8819875776397516,0.9136363636363637
3,0.9002624671916011,0.879746835443038,0.9147982062780269
3,0.8608923884514436,0.8295819935691319,0.8824833702882483
3,0.89501312335958,0.875,0.9095022624434389
3,0.8871391076115486,0.8700906344410876,0.9002320185614849
4,0.8976377952755905,0.8769716088328076,0.9123595505617977
4,0.8766404199475065,0.8553846153846154,0.8924485125858124
4,0.889763779527559,0.8719512195121951,0.9032258064516129
4,0.889763779527559,0.8670886075949367,0.905829596412556
4,0.8818897637795275,0.8562300319488818,0.8997772828507795
4,0.9002624671916011,0.8819875776397516,0.9136363636363637
4,0.8976377952755905,0.8769716088328076,0.9123595505617977
4,0.8530183727034121,0.8193548387096774,0.8761061946902655
4,0.884514435695538,0.8641975308641975,0.8995433789954338
4,0.9002624671916011,0.8841463414634146,0.9124423963133641
5,0.9002624671916011,0.8774193548387097,0.915929203539823
5,0.8740157480314961,0.85,0.8914027149321267
5,0.8871391076115486,0.8685015290519877,0.9011494252873563
5,0.8740157480314961,0.8481012658227848,0.8923766816143498
5,0.8792650918635171,0.8506493506493507,0.8986784140969163
5,0.884514435695538,0.8641975308641975,0.8995433789954338
5,0.905511811023622,0.8881987577639752,0.9181818181818182
5,0.8503937007874016,0.8131147540983606,0.87527352297593
5,0.889763779527559,0.86875,0.9049773755656109
5,0.905511811023622,0.8909090909090909,0.9166666666666666
6,0.9028871391076115,0.8817891373801917,0.9175946547884187
6,0.8766404199475065,0.8526645768025078,0.8939051918735892
6,0.89501312335958,0.8765432098765432,0.908675799086758
6,0.8740157480314961,0.8481012658227848,0.8923766816143498
6,0.8792650918635171,0.8496732026143791,0.8991228070175439
6,0.9002624671916011,0.8819875776397516,0.9136363636363637
6,0.905511811023622,0.8867924528301887,0.918918918918919
6,0.8398950131233596,0.8013029315960912,0.865934065934066
6,0.8766404199475065,0.8535825545171339,0.8934240362811792
6,0.905511811023622,0.8909090909090909,0.9166666666666666
7,0.8976377952755905,0.8729641693811075,0.9142857142857143
7,0.8582677165354331,0.8301886792452831,0.8783783783783784
7,0.8923884514435696,0.8738461538461538,0.9061784897025171
7,0.863517060367454,0.8354430379746836,0.8834080717488789
7,0.8661417322834646,0.8338762214983714,0.8879120879120879
7,0.889763779527559,0.86875,0.9049773755656109
7,0.9028871391076115,0.8840125391849529,0.9164785553047404
7,0.8293963254593176,0.7896440129449838,0.8565121412803532
7,0.8923884514435696,0.8714733542319749,0.90744920993228
7,0.9133858267716536,0.8996960486322189,0.9237875288683602
8,0.9002624671916011,0.8766233766233766,0.9162995594713657
8,0.8661417322834646,0.8391167192429022,0.8853932584269663
