hyperparameters,k,accuracy,f1_0,f1_1
ignore,1,0.863517060367454,0.8343949044585988,0.8839285714285714
ignore,1,0.8792650918635171,0.8588957055214724,0.8944954128440367
ignore,1,0.89501312335958,0.8795180722891566,0.9069767441860465
ignore,1,0.8713910761154856,0.8501529051987767,0.8873563218390804
ignore,1,0.8818897637795275,0.8589341692789969,0.8984198645598194
ignore,1,0.8556430446194225,0.8253968253968254,0.8769574944071589
ignore,1,0.868766404199475,0.8466257668711656,0.8853211009174312
ignore,1,0.8713910761154856,0.851963746223565,0.8863109048723898
ignore,1,0.8398950131233596,0.8099688473520249,0.8616780045351474
ignore,1,0.89501312335958,0.8795180722891566,0.9069767441860465
ignore,2,0.863517060367454,0.8343949044585988,0.8839285714285714
ignore,2,0.8792650918635171,0.8588957055214724,0.8944954128440367
ignore,2,0.89501312335958,0.8795180722891566,0.9069767441860465
ignore,2,0.8713910761154856,0.8501529051987767,0.8873563218390804
ignore,2,0.8818897637795275,0.8589341692789969,0.8984198645598194
ignore,2,0.8556430446194225,0.8253968253968254,0.8769574944071589
ignore,2,0.868766404199475,0.8466257668711656,0.8853211009174312
ignore,2,0.8713910761154856,0.851963746223565,0.8863109048723898
ignore,2,0.8398950131233596,0.8099688473520249,0.8616780045351474
ignore,2,0.89501312335958,0.8795180722891566,0.9069767441860465
ignore,3,0.8740157480314961,0.8431372549019608,0.8947368421052632
ignore,3,0.8740157480314961,0.85,0.8914027149321267
ignore,3,0.9028871391076115,0.8861538461538462,0.9153318077803204
ignore,3,0.89501312335958,0.8765432098765432,0.908675799086758
ignore,3,0.8923884514435696,0.8706624605678234,0.9078651685393259
ignore,3,0.8818897637795275,0.8534201954397395,0.9010989010989011
ignore,3,0.905511811023622,0.8888888888888888,0.9178082191780822
ignore,3,0.9002624671916011,0.8848484848484849,0.9120370370370371
ignore,3,0.8740157480314961,0.8481012658227848,0.8923766816143498
ignore,3,0.8923884514435696,0.8722741433021807,0.9070294784580499
ignore,4,0.8818897637795275,0.8543689320388349,0.9006622516556292
ignore,4,0.8818897637795275,0.8606811145510835,0.89749430523918
ignore,4,0.905511811023622,0.8902439024390244,0.9170506912442397
ignore,4,0.884514435695538,0.8633540372670807,0.9
ignore,4,0.89501312335958,0.8742138364779874,0.9099099099099099
ignore,4,0.884514435695538,0.8571428571428571,0.9030837004405287
ignore,4,0.8976377952755905,0.8807339449541285,0.9103448275862069
ignore,4,0.905511811023622,0.8902439024390244,0.9170506912442397
ignore,4,0.8661417322834646,0.8411214953271028,0.8843537414965986
ignore,4,0.9028871391076115,0.8854489164086687,0.9157175398633257
ignore,5,0.8713910761154856,0.8382838283828383,0.8932461873638344
ignore,5,0.8713910761154856,0.8454258675078864,0.8898876404494382
ignore,5,0.884514435695538,0.8641975308641975,0.8995433789954338
ignore,5,0.9002624671916011,0.8841463414634146,0.9124423963133641
ignore,5,0.8818897637795275,0.8580441640378549,0.898876404494382
ignore,5,0.89501312335958,0.8717948717948718,0.9111111111111111
ignore,5,0.9002624671916011,0.8834355828220859,0.9128440366972477
ignore,5,0.9081364829396326,0.8923076923076924,0.919908466819222
