ntree,accuracy,f1_0,f1_1
1,0.9212598425196851,0.9074074074074074,0.9315068493150684
1,0.9094488188976378,0.8959276018099548,0.9198606271777003
1,0.9251968503937008,0.9119010819165378,0.935005701254276
1,0.931758530183727,0.91875,0.9411764705882353
1,0.9081364829396326,0.8913043478260869,0.9204545454545454
2,0.9173228346456693,0.9032258064516129,0.9278350515463918
2,0.9081364829396326,0.8923076923076924,0.919908466819222
2,0.916010498687664,0.9033232628398792,0.925754060324826
2,0.9133858267716536,0.9011976047904192,0.9228971962616822
2,0.8976377952755905,0.8810975609756098,0.9101382488479263
5,0.9238845144356955,0.909375,0.9343891402714932
5,0.9146981627296588,0.9028400597907325,0.9239766081871345
5,0.9186351706036745,0.9046153846153846,0.9290617848970252
5,0.9278215223097113,0.9167927382753404,0.936268829663963
5,0.910761154855643,0.8950617283950617,0.9223744292237442
10,0.9304461942257218,0.9195751138088012,0.9387283236994219
10,0.9212598425196851,0.9099099099099099,0.9300699300699301
10,0.9238845144356955,0.9090909090909091,0.9345372460496614
10,0.9225721784776902,0.9101978691019786,0.9319492502883506
10,0.916010498687664,0.9009287925696594,0.9271070615034168
20,0.9291338582677166,0.9176829268292683,0.9377880184331797
20,0.9238845144356955,0.9123867069486404,0.9327146171693735
20,0.926509186351706,0.9135802469135802,0.9360730593607306
20,0.9304461942257218,0.9185867895545314,0.9392898052691867
20,0.9238845144356955,0.9107692307692308,0.9336384439359268
50,0.9291338582677166,0.9174311926605505,0.9379310344827586
50,0.9173228346456693,0.9046898638426626,0.9269988412514485
50,0.9238845144356955,0.9107692307692308,0.9336384439359268
50,0.9304461942257218,0.9195751138088012,0.9387283236994219
50,0.916010498687664,0.9015384615384615,0.9267734553775744
100,0.931758530183727,0.9204892966360856,0.9402298850574713
100,0.9225721784776902,0.9110105580693816,0.9314750290360047
100,0.9238845144356955,0.9107692307692308,0.9336384439359268
100,0.9356955380577427,0.9251908396946565,0.9436133486766398
100,0.9186351706036745,0.9051987767584098,0.9287356321839081
